id	author	pubb_w	pubbl_it	pubbl_la	period	source	school
1	Plauto	-	-	Aulularia	III - II sec. a.C.	la	terzo liceo
2	Plauto	-	-	Miles_gloriosus	III - II sec. a.C.	la	terzo liceo
3	Plauto	-	-	Amphitruo_(Leo)	III - II sec. a.C.	la	terzo liceo
4	Publio_Terenzio_Afro	-	Andria	Andria	III - II sec. a.C.	la	terzo liceo
5	Publio_Terenzio_Afro	-	-	Heautontimorumenos	III - II sec. a.C.	la	terzo liceo
6	Catone	Origines	-	-	III - II sec. a.C.	la	terzo liceo
7	Catone	De_agri_cultura	-	De_agri_cultura	III - II sec. a.C.	la	terzo liceo
8	Catone	Carthago_delenda_est	-	-	III - II sec. a.C.	la	terzo liceo
9	Lucrezio	L'atomismo_di_Lucrezio	-	-	I sec. a.C. - Età Cesarea/Ciceroniana	la	terzo liceo
10	Lucrezio	Epicureismo	-	-	I sec. a.C. - Età Cesarea/Ciceroniana	la	terzo liceo
11	Lucrezio	De_rerum_natura	La_Natura	De_rerum_natura_(Titus_Lucretius_Carus)	I sec. a.C. - Età Cesarea/Ciceroniana	la	terzo liceo
12	Gaio Valerio Catullo	Liber Catullianus	Le_poesie_di_Catullo	Carmina_(Catullus)	I sec. a.C. - Età Cesarea/Ciceroniana	la	terzo liceo
13	Marco_Terenzio_Varrone	De Lingua Latina	-	De_Lingua_Latina	I sec. a.C. - Età Cesarea/Ciceroniana	la	terzo liceo
14	Marco_Terenzio_Varrone	De Re Rustica	-	Rerum_rusticarum	I sec. a.C. - Età Cesarea/Ciceroniana	la	terzo liceo
15	Marco_Terenzio_Varrone	Saturae Menippaee	-	-	I sec. a.C. - Età Cesarea/Ciceroniana	la	terzo liceo
16	Cornelio Nepote	De_viris_illustribus	Vite_degli_eccellenti_comandanti	De_viris_illustribus	I sec. a.C. - Età Cesarea/Ciceroniana	la	terzo liceo
17	Cesare	De_bello_Gallico	-	Commentarii_de_bello_Gallico	I sec. a.C. - Età Cesarea/Ciceroniana	la	terzo liceo
18	Cesare	De bello civili	-	Commentarii_de_bello_civili	I sec. a.C. - Età Cesarea/Ciceroniana	la	terzo liceo
19	Sallustio	De_Catilinae_coniuratione	Della_congiura_di_Catilina	De_Catilinae_coniuratione	I sec. a.C. - Età Cesarea/Ciceroniana	la	terzo liceo
20	Sallustio	Bellum_Iugurthinum	Il_Giugurtino	Bellum_Iugurthinum	I sec. a.C. - Età Cesarea/Ciceroniana	la	terzo liceo
21	Marco_Tullio_Cicerone	Pensiero_politico_di_Cicerone	-	-	I sec. a.C. - Età Cesarea/Ciceroniana	la	terzo liceo
22	Marco_Tullio_Cicerone	Laelius_de_amicitia	-	Laelius_de_Amicitia	I sec. a.C. - Età Cesarea/Ciceroniana	la	terzo liceo
23	Marco_Tullio_Cicerone	Tusculanae_disputationes	-	Tusculanae_Disputationes	I sec. a.C. - Età Cesarea/Ciceroniana	la	terzo liceo
24	Marco_Tullio_Cicerone	De_officiis	Degli_uffici	De_officiis	I sec. a.C. - Età Cesarea/Ciceroniana	la	terzo liceo
25	Marco_Tullio_Cicerone	In_Verrem	-	In_Verrem	I sec. a.C. - Età Cesarea/Ciceroniana	la	terzo liceo
26	Marco_Tullio_Cicerone	Catilinarie	-	In_L._Catilinam_orationes	I sec. a.C. - Età Cesarea/Ciceroniana	la	terzo liceo
27	Marco_Tullio_Cicerone	Filippiche	-	In_M._Antonium_Philippicae	I sec. a.C. - Età Cesarea/Ciceroniana	la	terzo liceo
28	Marco_Tullio_Cicerone	Pro_Milone	-	Pro_Milone	I sec. a.C. - Età Cesarea/Ciceroniana	la	terzo liceo
29	Marco_Tullio_Cicerone	Brutus	-	Brutus	I sec. a.C. - Età Cesarea/Ciceroniana	la	terzo liceo
30	Marco_Tullio_Cicerone	Epistulae_ad_Atticum	-	Epistulae_ad_Atticum	I sec. a.C. - Età Cesarea/Ciceroniana	la	terzo liceo
31	Marco_Tullio_Cicerone	Epistulae_ad_familiares	-	Epistulae_ad_Familiares	I sec. a.C. - Età Cesarea/Ciceroniana	la	terzo liceo
32	Virgilio	Bucoliche	-	Eclogae_vel_bucolica	Età Augustea, 31 a.C.-14 d.C.	la	quarto liceo
33	Virgilio	Georgiche	Georgiche	Georgica	Età Augustea, 31 a.C.-14 d.C.	la	quarto liceo
34	Virgilio	Eneide	Eneide_(Caro)	Aeneis	Età Augustea, 31 a.C.-14 d.C.	la	quarto liceo
35	Virgilio	Omnia_vincit_amor	-	-	Età Augustea, 31 a.C.-14 d.C.	la	quarto liceo
36	Virgilio	Timeo_Danaos_et_dona_ferentes	-	-	Età Augustea, 31 a.C.-14 d.C.	la	quarto liceo
37	Orazio	Carpe_diem	-	-	Età Augustea, 31 a.C.-14 d.C.	la	quarto liceo
38	Orazio	Epodi	-	Epodi	Età Augustea, 31 a.C.-14 d.C.	la	quarto liceo
39	Orazio	Odi_(Orazio)	Le_odi_di_Orazio	Carmina_(Horatius)	Età Augustea, 31 a.C.-14 d.C.	la	quarto liceo
40	Orazio	Satire_(Orazio)	Satire_(Orazio)	Sermones_(Horatius)	Età Augustea, 31 a.C.-14 d.C.	la	quarto liceo
41	Orazio	Ars poetica	-	Ars_poetica	Età Augustea, 31 a.C.-14 d.C.	la	quarto liceo
42	Gaio_Cornelio_Gallo	Gaio_Cornelio_Gallo	Gaio_Cornelio_Gallo	-	Età Augustea, 31 a.C.-14 d.C.	la	quarto liceo
43	Albio_Tibullo	Albio_Tibullo	Albio_Tibullo	Albius_Tibullus	Età Augustea, 31 a.C.-14 d.C.	la	quarto liceo
44	Albio_Tibullo	Corpus_Tibullianum	-	Opera_omnia_(Tibullus)	Età Augustea, 31 a.C.-14 d.C.	la	quarto liceo
45	Sesto_Properzio	Sesto_Properzio	Sesto_Properzio	Sextus_Aurelius_Propertius	Età Augustea, 31 a.C.-14 d.C.	la	quarto liceo
46	Sesto_Properzio	Elegie_(Properzio)	-	Elegiae_(Propertius)	Età Augustea, 31 a.C.-14 d.C.	la	quarto liceo
47	Ovidio	Amores	-	Amores	Età Augustea, 31 a.C.-14 d.C.	la	quarto liceo
48	Ovidio	Ars_amatoria	I_tre_libri_dell'arte_amatoria_ed_il_libro_de'_rimedj_d'amore	Ars_amatoria	Età Augustea, 31 a.C.-14 d.C.	la	quarto liceo
49	Ovidio	Eroidi	-	Heroides	Età Augustea, 31 a.C.-14 d.C.	la	quarto liceo
50	Ovidio	Le_metamorfosi	Le_Metamorfosi	Metamorphoses_(Ovidius)	Età Augustea, 31 a.C.-14 d.C.	la	quarto liceo
51	Ovidio	Tristia	-	Tristia	Età Augustea, 31 a.C.-14 d.C.	la	quarto liceo
52	Ovidio	Epistulae_ex_Ponto	-	Epistulae_ex_Ponto	Età Augustea, 31 a.C.-14 d.C.	la	quarto liceo
53	Livio	Storiografia_romana (approfondimento)	-	-	Età Augustea, 31 a.C.-14 d.C.	la	quarto liceo
54	Livio	Ab_Urbe_condita_libri	-	Ab_Urbe_Condita	Età Augustea, 31 a.C.-14 d.C.	la	quarto liceo
55	Seneca	Posizione_politica_di_Seneca (approfondimento)	-	-	Età Imperiale Giulio-Claudia, 14-68 d.C.	la	quarto liceo
56	Seneca	De_beneficiis	-	De_Beneficiis	Età Imperiale Giulio-Claudia, 14-68 d.C.	la	quarto liceo
57	Seneca	De_brevitate_vitae	-	De_brevitate_vitae	Età Imperiale Giulio-Claudia, 14-68 d.C.	la	quarto liceo
58	Seneca	De_vita_beata	-	De_vita_beata	Età Imperiale Giulio-Claudia, 14-68 d.C.	la	quarto liceo
59	Seneca	Epistulae_morales_ad_Lucilium	-	Epistulae_morales_ad_Lucilium	Età Imperiale Giulio-Claudia, 14-68 d.C.	la	quarto liceo
60	Seneca	Medea_(Seneca)	Medea	Medea	Età Imperiale Giulio-Claudia, 14-68 d.C.	la	quarto liceo
61	Seneca	Naturales quaestiones (deest)	-	Quaestiones_Naturales	Età Imperiale Giulio-Claudia, 14-68 d.C.	la	quarto liceo
62	Petronio	Satyricon	Satire_di_Tito_Petronio_Arbitro	Satyricon	Età Imperiale Giulio-Claudia, 14-68 d.C.	la	quinto liceo
63	Patercolo	Historiae_romanae	deest	Historiae_Romanae	Età Imperiale Giulio-Claudia, 14-68 d.C.	la	quinto liceo
64	Valerio Massimo	Memorabilia	deest	Factorum_et_dictorum_memorabilium_libri_IX	Età Imperiale Giulio-Claudia, 14-68 d.C.	la	quinto liceo
65	Plinio il Vecchio	Naturalis_historia	deest	Naturalis_Historia	Età Imperiale Giulio-Claudia, 14-68 d.C.	la	quinto liceo
66	Fedro	Fabulae_(Fedro)	Favole_(Fedro)	Fabulae_(Phaedrus)	Età Imperiale Giulio-Claudia, 14-68 d.C.	la	quinto liceo
67	Lucano	Pharsalia	Farsaglia	Pharsalia	Età Imperiale Giulio-Claudia, 14-68 d.C.	la	quinto liceo
68	Persio	Satire (deest)	Satire_(Persio)	Saturae_(Persius,_Monti)	Età Imperiale Giulio-Claudia, 14-68 d.C.	la	quinto liceo
69	Silio Italico	Punica	deest	Punica	Età dei  Flavi, 69-117	la	quinto liceo
70	Stazio	Tebaide	La_Tebaide	Thebais	Età dei  Flavi, 69-118	la	quinto liceo
71	Flacco	Argonautica	L'Argonautica	Argonautica_(Valerius_Flaccus)	Età dei  Flavi, 69-119	la	quinto liceo
72	Quintiliano	Institutio_oratoria	deest	De_Institutione_Oratoria	Età dei  Flavi, 69-120	la	quinto liceo
73	Marziale	Epigrammi	deest	Epigrammaton_libri_XII	Età dei  Flavi, 69-121	la	quinto liceo
74	Giovenale	Satire_(Giovenale)	Satire_(Giovenale)	Saturae_(Iuvenalis,_Bucheler)	Età dei  Flavi, 69-122	la	quinto liceo
75	Plinio il Giovane	Lettere_di_Plinio	deest	Epistularum_Libri_Decem_(Gaius_Plinius_Caecilius_Secundus)	Età dei  Flavi, 69-123	la	quinto liceo
76	Plinio il Giovane	Panegirico_di_Traiano	deest	Panegyricus_(Plinius)	Età dei  Flavi, 69-124	la	quinto liceo
77	Tacito	Historiae_(Tacito)	Storie_(Tacito)	Historiae_(Tacitus)	Età dei  Flavi, 69-125	la	quinto liceo
78	Tacito	Annales_(Tacito)	Annali_(Tacito)	Ab_excessu_divi_Augusti_(Annales)	Età dei  Flavi, 69-126	la	quinto liceo
79	Tacito	Agricola	deest	De_vita_et_moribus_Iulii_Agricolae	Età dei  Flavi, 69-127	la	quinto liceo
80	Tacito	Germania	deest	De_origine_et_situ_Germanorum_(Germania)	Età dei  Flavi, 69-128	la	quinto liceo
81	Svetonio	Vite_dei_Cesari	deest	De_vita_Caesarum_libri_VIII	Età Antonina, 117-192	la	quinto liceo
82	Svetonio	De_viris_illustribus_(Svetonio)	deest	De_viris_illustribus_(Suetonius)	Età Antonina, 117-193	la	quinto liceo
83	Svetonio	Le_metamorfosi_(Apuleio)	L'asino_d'oro	Metamorphoses_(Apuleius)	Età Antonina, 117-194	la	quinto liceo
84	Svetonio	Amore_e_Psiche (approfondimento)	/	Psyche_et_Cupido	Età Antonina, 117-195	la	quinto liceo
85	Svetonio	Apologia_(Apuleio)	deest	Apologia_sive_pro_se_de_magia	Età Antonina, 117-196	la	quinto liceo
86	Apuleio	Le_metamorfosi_(Apuleio)	L'asino_d'oro	Metamorphoses_(Apuleius)	Età Antonina, 117-197	la	quinto liceo
87	Apuleio	Amore_e_Psiche (approfondimento)	/	Psyche_et_Cupido	Età Antonina, 117-198	la	quinto liceo
88	Apuleio	Apologia_(Apuleio)	deest	Apologia_sive_pro_se_de_magia	Età Antonina, 117-199	la	quinto liceo
89	Gellio	Noctes_Atticae	deest	Noctes_Atticae	Età Antonina, 117-200	la	quinto liceo
90	Ammiano Marcellino	Storie_(Ammiano_Marcellino)	deest	Res_Gestae_Libri_XXXI	Età della decadenza, III-IV secolo	la	quinto liceo
91	Ausonio	Mosella_(poema)	-	Mosella	Età della decadenza, III-IV secolo	la	quinto liceo
92	Simmaco	Epistolario (deest)	deest	Libri_Decem_Epistolarum	Età della decadenza, III-IV secolo	la	quinto liceo
93	Claudiano	De raptu Proserpinae (deest)	deest	De_raptu_Proserpinae	V secolo e post	la	quinto liceo
94	Namaziano	De_reditu_suo	deest	De_reditu_suo	V secolo e post	la	quinto liceo
95	Namaziano	Querolus_sive_Aulularia	deest	deest	V secolo e post	la	quinto liceo
96	Sidonio Apollinare	Carmina_(Sidonio_Apollinare)	deest	Carmina_(Sidonius_Apollinaris)	V secolo e post	la	quinto liceo
97	Agostino	Pensiero_di_Agostino_d'Ippona	/	/	V secolo e post	la	quinto liceo
98	Agostino	Confessioni	deest	Confessiones	V secolo e post	la	quinto liceo
99	Agostino	La_città_di_Dio	deest	De_civitate_Dei	V secolo e post	la	quinto liceo
100	Boezio	De_consolatione_philosophiae	Della_consolazione_della_filosofia	De_philosophiae_consolatione	V secolo e post	la	quinto liceo
101	Cassiodoro	Variae (deest)	deest	Variarum_libri_XII	V secolo e post	la	quinto liceo
102	Guittone d'Arezzo	Tutt'or_ch'eo_dirò_gioi,_gioiva_cosa	Tutt'or_ch'eo_dirò_gioi,_gioiva_cosa	-	XIII secolo - Scuola toscana	it	-
103	Guido Guinizelli	Al_cor_gentil_rempaira_sempre_amore	Al_cor_gentil_rempaira_sempre_amore	-	XIII secolo - Scuola toscana	it	-
104	Guido Guinizelli	Io_voglio_del_ver_la_mia_donna_laudare	Io_voglio_del_ver_la_mia_donna_laudare	-	XIII secolo - Scuola toscana	it	-
105	Guido Cavalcanti	Rime	Chi_è_questa_che_ven,_ch'ogn'om_la_mira	-	XIII secolo - Scuola toscana	it	-
106	Guido Cavalcanti	-	Perch'i'_non_spero_di_tornar_giammai	-	XIII secolo - Scuola toscana	it	-
107	Guido Cavalcanti	-	Voi_che_per_li_occhi_mi_passaste_'l_core	-	XIII secolo - Scuola toscana	it	-
108	Cino da Pistoia	-	Io fu 'n su alto e 'n_sul_beato_monte	-	XIII secolo - Scuola toscana	it	-
109	Cecco Angiolieri	S'i_fosse_foco	S'i'_fosse_foco,_arderei_%27l_mondo	-	XIII secolo - Scuola toscana	it	-
110	Cecco Angiolieri	Becchin'amor!_-_Che_vuo',_falso_tradito?	Becchin'amor!_Che_vuo',_falso_tradito	-	XIII secolo - Scuola toscana	it	-
111	Iacopone da Todi	Donna_de_Paradiso	Donna_de_Paradiso	-	XIII secolo - Scuola toscana	it	-
112	Iacopone da Todi	O papa Bonifazio...	Laude/83	-	XIII secolo - Scuola toscana	it	-
113	Dante Alighieri	Vita_nuova	Vita_nuova	-	XIII secolo - Scuola toscana	it	-
114	Dante Alighieri	Beatrice_Portinari (approfondimento)		-	XIII secolo - Scuola toscana	it	-
115	Dante Alighieri	Convivio	Convivio	-	XIII secolo - Scuola toscana	it	-
116	Dante Alighieri	Le_Rime	Rime_(Dante)	-	XIII secolo - Scuola toscana	it	-
117	Dante Alighieri	Guido,_i'_vorrei_che_tu_e_Lapo_ed_io	Guido,_i'_vorrei_che_tu_e_Lapo_ed_io	-	XIII secolo - Scuola toscana	it	-
118	Dante Alighieri	Tanto_gentile_e_tanto_onesta_pare	Tanto_gentile_e_tanto_onesta_pare	-	XIII secolo - Scuola toscana	it	-
119	Dante Alighieri	De_vulgari_eloquentia	De la volgare eloquenza	-	XIII secolo - Scuola toscana	it	-
120	Dante Alighieri	Divina_Commedia	Opera:Divina_Commedia	-	XIII secolo - Scuola toscana	it	-
121	Dante Alighieri	Monarchia_(Dante)	Monarchia	-	XIII secolo - Scuola toscana	it	-
122	Dante Alighieri	Epistole_(Dante_Alighieri)	Epistole_(Dante)	-	XIII secolo - Scuola toscana	it	-
123	Dante Alighieri	Epistola_XIII_a_Cangrande_della_Scala		-	XIII secolo - Scuola toscana	it	-
124	Dante Alighieri	Egloghe	Egloghe	-	XIII secolo - Scuola toscana	it	-
125	Dante Alighieri	Quaestio_de_aqua_et_terra		-	XIII secolo - Scuola toscana	it	-
126	Dante Alighieri	Influenza_culturale_di_Dante_Alighieri		-	XIII secolo - Scuola toscana	it	-
127	Marco Polo	Il_Milione	Milione	-	Secolo XIII - prosa narrativa	it	-
128	Franco Sacchetti	Il_Trecentonovelle	Il_Trecentonovelle	-	Secolo XIV	it	-
129	Petrarca	Laura_de_Noves	-	-	Secolo XIV	it	-
130	Petrarca	Epistole	Epistolae_familiares	-	Secolo XIV	it	-
131	Petrarca	Secretum	Il_mio_segreto	-	Secolo XIV	it	-
132	Petrarca	Canzoniere	Canzoniere	-	Secolo XIV	it	-
133	Petrarca	Voi ch'ascoltate in rime sparse il suono	Voi ch'ascoltate in rime sparse il suono	-	Secolo XIV	it	-
